"site_code","landuse","nlcd_label"
"AA-17","Urban","Developed, Medium Intensity"
"AB-19","Urban","Developed, Low Intensity"
"AC-16","Urban","Developed, Low Intensity"
"AC-20","Urban","Developed, Low Intensity"
"AD-10","Desert","Shrub/Scrub"
"ADODAM","Desert","Shrub/Scrub"
"AF-12","Desert","Shrub/Scrub"
"ALF202","Other","Developed High Intensity"
"ALF91","Other","Developed High Intensity"
"ALFCHA","Urban","Developed, Medium Intensity"
"ALFPOW","Urban","Developed, Open Space"
"BD","Urban","Developed, Medium Intensity"
"BM","Urban","Developed, Medium Intensity"
"CINWES","Urban","Developed, Low Intensity"
"CONSTO","Urban","Developed, Medium Intensity"
"COTPEO","Urban","Developed, Low Intensity"
"DBG","Desert","Shrub/Scrub"
"DREAMY","Desert","Shrub/Scrub"
"DUNCAN","Desert","Shrub/Scrub"
"ESTREL","Desert","Shrub/Scrub"
"HONEY","Other","Developed High Intensity"
"I-17","Desert","Shrub/Scrub"
"INSIGH","Other","Developed High Intensity"
"JOHNIC","Urban","Developed, Low Intensity"
"L-7","Desert","Shrub/Scrub"
"M-16","Agricultural","Cultivated Crops"
"MCDOW","Desert","Shrub/Scrub"
"MORR-2","Urban","Developed, Low Intensity"
"MVLH2","Other","Developed High Intensity"
"MW","Urban","Developed, Low Intensity"
"NDV-C","Urban","Developed, Open Space"
"NDV-M","Urban","Developed, Low Intensity"
"NDV-N","Urban","Developed, Open Space"
"NDV-O","Urban","Developed, Open Space"
"NDV-X","Urban","Developed, Open Space"
"NL","Urban","Developed, Low Intensity"
"NM","Desert","Shrub/Scrub"
"O-9","Desert","Shrub/Scrub"
"OCOTIL","Other","Developed High Intensity"
"P-18","Agricultural","Cultivated Crops"
"Q-16","Agricultural","Cultivated Crops"
"Q-7","Desert","Shrub/Scrub"
"ROBWEL","Urban","Developed, Medium Intensity"
"ROTHE","Urban","Developed, Low Intensity"
"SM2","Desert","Shrub/Scrub"
"STHMTN","Desert","Shrub/Scrub"
"T-11","Urban","Developed, Medium Intensity"
"U-12","Urban","Developed, Medium Intensity"
"USERY","Desert","Shrub/Scrub"
"V-14","Urban","Developed, Medium Intensity"
"V-16","Other","Developed High Intensity"
"VALLUT","Other","Developed High Intensity"
"W-15","Urban","Developed, Low Intensity"
"W-17","Urban","Developed, Medium Intensity"
"W-6","Desert","Shrub/Scrub"
"Y-19","Urban","Developed, Medium Intensity"
"Bell","Desert","Shrub/Scrub"
"Gateway","Desert","Shrub/Scrub"
"Mine","Desert","Shrub/Scrub"
"Prospector","Desert","Shrub/Scrub"
"Rincon","Desert","Shrub/Scrub"
"Sunrise","Desert","Shrub/Scrub"
"Dixileta","Desert","Shrub/Scrub"
"LoneMtn","Desert","Shrub/Scrub"
"Paraiso","Desert","Shrub/Scrub"
"TomThumb","Desert","Shrub/Scrub"
"S-17","Urban","Developed, Low Intensity"
